Temperature (C),"	Year", Month, Country
-22.339,2015,Jan,Canada
-24.603,2015,Feb,Canada
-17.626,2015,Mar,Canada
-9.1776,2015,Apr,Canada
0.60859,2015,May,Canada
7.86819,2015,Jun,Canada
11.6098,2015,Jul,Canada
10.4441,2015,Aug,Canada
4.74197,2015,Sep,Canada
-3.5632,2015,Oct,Canada
-11.982,2015,Nov,Canada
-18.181,2015,Dec,Canada
27.7918,2015,Jan,Australia
28.9366,2015,Feb,Australia
26.1335,2015,Mar,Australia
21.1191,2015,Apr,Australia
17.6329,2015,May,Australia
16.1442,2015,Jun,Australia
14.3923,2015,Jul,Australia
16.3887,2015,Aug,Australia
19.162,2015,Sep,Australia
24.9897,2015,Oct,Australia
26.9465,2015,Nov,Australia
28.0637,2015,Dec,Australia
26.6425,2015,Jan,Brazil
26.3971,2015,Feb,Brazil
26.027,2015,Mar,Brazil
25.9741,2015,Apr,Brazil
25.2458,2015,May,Brazil
24.6914,2015,Jun,Brazil
24.7691,2015,Jul,Brazil
25.7966,2015,Aug,Brazil
27.3316,2015,Sep,Brazil
27.21,2015,Oct,Brazil
27.3725,2015,Nov,Brazil
27.1024,2015,Dec,Brazil
1.85438,2015,Jan,Germany
1.17579,2015,Feb,Germany
5.51212,2015,Mar,Germany
8.91448,2015,Apr,Germany
12.656,2015,May,Germany
16.0824,2015,Jun,Germany
19.7579,2015,Jul,Germany
20.25,2015,Aug,Germany
13.5006,2015,Sep,Germany
8.80112,2015,Oct,Germany
7.84024,2015,Nov,Germany
6.64561,2015,Dec,Germany
16.6115,2015,Jan,India
20.2522,2015,Feb,India
23.3404,2015,Mar,India
27.162,2015,Apr,India
30.6121,2015,May,India
29.1138,2015,Jun,India
27.5206,2015,Jul,India
27.0912,2015,Aug,India
27.2284,2015,Sep,India
25.9414,2015,Oct,India
22.3532,2015,Nov,India
18.6159,2015,Dec,India
0.47881,2015,Jan,Japan
1.02513,2015,Feb,Japan
4.98346,2015,Mar,Japan
10.4627,2015,Apr,Japan
15.907,2015,May,Japan
18.1341,2015,Jun,Japan
22.5267,2015,Jul,Japan
23.2621,2015,Aug,Japan
19.0699,2015,Sep,Japan
13.5452,2015,Oct,Japan
9.28141,2015,Nov,Japan
4.05555,2015,Dec,Japan
25.1232,2015,Jan,Madagascar
24.673,2015,Feb,Madagascar
24.5481,2015,Mar,Madagascar
24.0387,2015,Apr,Madagascar
22.4668,2015,May,Madagascar
20.7082,2015,Jun,Madagascar
20.0339,2015,Jul,Madagascar
20.0857,2015,Aug,Madagascar
21.1597,2015,Sep,Madagascar
23.4262,2015,Oct,Madagascar
24.1409,2015,Nov,Madagascar
25.4341,2015,Dec,Madagascar
15.5667,2015,Jan,Mexico
17.2198,2015,Feb,Mexico
18.9809,2015,Mar,Mexico
22.338,2015,Apr,Mexico
23.7667,2015,May,Mexico
25.6417,2015,Jun,Mexico
25.8099,2015,Jul,Mexico
26.4616,2015,Aug,Mexico
25.1767,2015,Sep,Mexico
22.596,2015,Oct,Mexico
19.4516,2015,Nov,Mexico
16.7385,2015,Dec,Mexico
15.9007,2015,Jan,Saudi Arabia
18.6084,2015,Feb,Saudi Arabia
22.0948,2015,Mar,Saudi Arabia
25.6254,2015,Apr,Saudi Arabia
30.9111,2015,May,Saudi Arabia
32.7563,2015,Jun,Saudi Arabia
33.5017,2015,Jul,Saudi Arabia
34.5059,2015,Aug,Saudi Arabia
32.2554,2015,Sep,Saudi Arabia
27.9791,2015,Oct,Saudi Arabia
22.3221,2015,Nov,Saudi Arabia
16.2065,2015,Dec,Saudi Arabia
3.88461,2015,Jan,UK
3.58158,2015,Feb,UK
5.41912,2015,Mar,UK
7.81867,2015,Apr,UK
9.71828,2015,May,UK
12.7974,2015,Jun,UK
14.4973,2015,Jul,UK
14.7839,2015,Aug,UK
11.913,2015,Sep,UK
10.0861,2015,Oct,UK
8.21381,2015,Nov,UK
6.91606,2015,Dec,UK
